       n      repetitions      time
     0     168568786     0.000000
    10      47622276     0.000000
    20      16315701     0.000001
    30       8002168     0.000001
    40       3919367     0.000003
    50       2426112     0.000004
    60       1715125     0.000006
    70       1367943     0.000007
    80       1044938     0.000010
    90        828156     0.000012
   100        678472     0.000015
   200        175693     0.000057
   300         82147     0.000122
   400         47733     0.000209
   500         30929     0.000323
   600         21302     0.000469
   700         15436     0.000648
   800         11831     0.000845
   900          9274     0.001078
  1000          7521     0.001330
  2000          1867     0.005357
  3000           829     0.012066
  4000           471     0.021246
  5000           312     0.032051
  6000           213     0.047085
  7000           146     0.068842
  8000           112     0.089670
  9000            92     0.109533
 10000            74     0.135716
